TYPE,SCOPE,NAME,DESCRIPTION,,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BmsDoS11B05,,,BmsDoHmiStatBits[11].5,BMSDOHMISTATBITS[11].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B06,,,BmsDoHmiStatBits[11].6,BMSDOHMISTATBITS[11].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B07,,,BmsDoHmiStatBits[11].7,BMSDOHMISTATBITS[11].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B08,,,BmsDoHmiStatBits[11].8,BMSDOHMISTATBITS[11].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B09,,,BmsDoHmiStatBits[11].9,BMSDOHMISTATBITS[11].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B10,,,BmsDoHmiStatBits[11].10,BMSDOHMISTATBITS[11].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B11,,,BmsDoHmiStatBits[11].11,BMSDOHMISTATBITS[11].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B12,,,BmsDoHmiStatBits[11].12,BMSDOHMISTATBITS[11].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B13,,,BmsDoHmiStatBits[11].13,BMSDOHMISTATBITS[11].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B14,,,BmsDoHmiStatBits[11].14,BMSDOHMISTATBITS[11].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B15,,,BmsDoHmiStatBits[11].15,BMSDOHMISTATBITS[11].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12,,,BmsDoHmiStatBits[12],BMSDOHMISTATBITS[12],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B00,,,BmsDoHmiStatBits[12].0,BMSDOHMISTATBITS[12].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B01,,,BmsDoHmiStatBits[12].1,BMSDOHMISTATBITS[12].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
