GroupName,Specifier,ItemName,ItemPath,DataType,ReadOnly,Reserved,UpdateRate,Reserved,Value,Quality,Timestamp,
Group0,BMSAIRNG[69],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[69].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[7],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[7].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[70],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[70].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[71],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[71].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[72],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[72].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[73],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[73].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[74],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[74].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[75],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[75].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[76],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[76].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[77],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[77].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
