TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BmsDiUdc,,,BmsStatBits[24].5,BMSSTATBITS[24].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoAlarmAct,,,BmsStatBits[31].15,BMSSTATBITS[31].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoBits0,,,BmsStatBits[30],BMSSTATBITS[30],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoBits1,,,BmsStatBits[31],BMSSTATBITS[31],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoBits2,,,BmsStatBits[32],BMSSTATBITS[32],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoBits3,,,BmsStatBits[33],BMSSTATBITS[33],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoBits4,,,BmsStatBits[34],BMSSTATBITS[34],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoBits5,,,BmsStatBits[35],BMSSTATBITS[35],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoCritPwr,,,BmsStatBits[30].0,BMSSTATBITS[30].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoFgf,,,BmsStatBits[31].7,BMSSTATBITS[31].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoFgrdOpnPermit,,,BmsStatBits[31].6,BMSSTATBITS[31].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoFgrMod,,,BmsStatBits[31].6,BMSSTATBITS[31].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoGasAct,,,BmsStatBits[30].7,BMSSTATBITS[30].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoOilAct,,,BmsStatBits[30].8,BMSSTATBITS[30].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0,,,BmsStatBits[140],BMSSTATBITS[140],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B00,,,BmsStatBits[140].0,BMSSTATBITS[140].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B01,,,BmsStatBits[140].1,BMSSTATBITS[140].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B02,,,BmsStatBits[140].2,BMSSTATBITS[140].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B03,,,BmsStatBits[140].3,BMSSTATBITS[140].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B04,,,BmsStatBits[140].4,BMSSTATBITS[140].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
